Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
21/03/2023,11.7,19.4,0,5.4,0,ESE,17,23:20,13.5,70,7,NNE,6,1025.7,18.4,65,8,NE,7,1022.7
22/03/2023,13.5,22.8,1.6,1.2,8.6,SSW,24,15:01,17.3,86,4,NE,2,1021,21.8,65,5,S,13,1019.1
23/03/2023,15.3,22.6,10.2,4,5.7,WNW,24,7:36,16.5,100,8,S,9,1017.6,21.4,68,4,SSW,9,1015.6
24/03/2023,16.1,21.6,1.4,2,0.4,SSE,31,10:11,17.3,74,8,SSE,7,1019.6,19.2,55,7,S,13,1019
25/03/2023,11.6,19.6,0.2,2.8,5.2,S,33,15:49,15.7,69,7,SE,9,1021.7,18.9,55,7,S,13,1019.1
26/03/2023,10.7,19.9,0,3.8,0.5,S,20,15:36,14,74,7, ,Calm,1017.5,19.1,63,7,SSW,6,1014.4
27/03/2023,13.9,18.3,0,3,0,N,26,16:15,16,84,8,NNW,9,1013.1,17.6,81,8,N,11,1010.5
28/03/2023,15.5,20.9,8,0,6.2,SSW,24,14:56,16.7,95,7, ,Calm,1012.4,20.2,69,2,S,11,1009.9
29/03/2023,14.9,18.5,5.8,3,0.9,S,43,16:48,14.9,91,8,SSW,7,1009.3,17.9,60,7,SSW,17,1008.6
30/03/2023,12.4,19.1,8.2,3.4,3,WSW,31,0:23,14.3,69,7,W,9,1011,18.4,57,7,SSW,13,1010.1
